No.,Time,,Time 1,Time 2,Delay,Total Delay,Rata-Rata Delay,Delay 1,Delay 2,Jitter,Total Jitter,Rata - rata Jitter
31122,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31123,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31124,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31125,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31126,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31127,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31128,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31129,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31130,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31131,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31132,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31133,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31134,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31135,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31136,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31137,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31138,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31139,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31140,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31141,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31142,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31143,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31144,158.139438,,158.139438,158.139438,0,,,0,0,0,,
31145,158.139438,,158.139438,158.139438,0,,,-0.000646,0.000646,0.001292,,
31146,158.139438,,158.139438,158.140084,0.000646,,,0.000295,0.000351,5.6E-05,,
31147,158.140084,,158.140084,158.140435,0.000351,,,0.000144,0.000207,6.3E-05,,
31148,158.140435,,158.140435,158.140642,0.000207,,,-0.002813,0.00302,0.005833,,
31149,158.140642,,158.140642,158.143662,0.00302,,,0.00302,0,-0.00302,,
31150,158.143662,,158.143662,158.143662,0,,,0,0,0,,
31151,158.143662,,158.143662,158.143662,0,,,0,0,0,,
31152,158.143662,,158.143662,158.143662,0,,,0,0,0,,
31153,158.143662,,158.143662,158.143662,0,,,0,0,0,,
31154,158.143662,,158.143662,158.143662,0,,,0,0,0,,
31155,158.143662,,158.143662,158.143662,0,,,0,0,0,,
31156,158.143662,,158.143662,158.143662,0,,,0,0,0,,
31157,158.143662,,158.143662,158.143662,0,,,0,0,0,,
31158,158.143662,,158.143662,158.143662,0,,,-0.000453,0.000453,0.000906,,
31159,158.143662,,158.143662,158.144115,0.000453,,,-0.002294,0.002747,0.005041,,
31160,158.144115,,158.144115,158.146862,0.002747,,,-0.002613,0.00536,0.007973,,
31161,158.146862,,158.146862,158.152222,0.00536,,,0.00536,0,-0.00536,,
31162,158.152222,,158.152222,158.152222,0,,,0,0,0,,
31163,158.152222,,158.152222,158.152222,0,,,0,0,0,,
